,audio_feature,mean,std
0,instrumentalness,0.02468132636363636,0.11861613667911333
1,speechiness,0.15522121212121212,0.1476504619963613
2,acousticness,0.2308029,0.26613636487331654
3,liveness,0.19295606060606058,0.1548873785678712
4,danceability,0.7175151515151514,0.16079344058801195
5,energy,0.6274545454545455,0.1842958475944573
6,valence,0.5581272727272728,0.2188257153679469
