,index,song_id,song,sp_name,tiktok_stats,value,timestp,diff
31,0,1,Roxanne,ROXANNE,"{'value': 2338063, 'timestp': '2020-03-01T00:00:00.000Z', 'diff': 7185}",2338063.0,2020-03-01T00:00:00.000Z,7185.0
32,0,1,Roxanne,ROXANNE,"{'value': 2342732, 'timestp': '2020-03-02T00:00:00.000Z', 'diff': 4669}",2342732.0,2020-03-02T00:00:00.000Z,4669.0
33,0,1,Roxanne,ROXANNE,"{'value': 2345069, 'timestp': '2020-03-03T00:00:00.000Z', 'diff': 2337}",2345069.0,2020-03-03T00:00:00.000Z,2337.0
34,0,1,Roxanne,ROXANNE,"{'value': 2347844, 'timestp': '2020-03-04T00:00:00.000Z', 'diff': 2775}",2347844.0,2020-03-04T00:00:00.000Z,2775.0
35,0,1,Roxanne,ROXANNE,"{'value': 2350200, 'timestp': '2020-03-05T00:00:00.000Z', 'diff': 2356}",2350200.0,2020-03-05T00:00:00.000Z,2356.0
36,0,1,Roxanne,ROXANNE,"{'value': 2352904, 'timestp': '2020-03-06T00:00:00.000Z', 'diff': 2704}",2352904.0,2020-03-06T00:00:00.000Z,2704.0
37,0,1,Roxanne,ROXANNE,"{'value': 2357410, 'timestp': '2020-03-07T00:00:00.000Z', 'diff': 4506}",2357410.0,2020-03-07T00:00:00.000Z,4506.0
38,0,1,Roxanne,ROXANNE,"{'value': 2365895, 'timestp': '2020-03-08T00:00:00.000Z', 'diff': 8485}",2365895.0,2020-03-08T00:00:00.000Z,8485.0
39,0,1,Roxanne,ROXANNE,"{'value': 2372170, 'timestp': '2020-03-09T00:00:00.000Z', 'diff': 6275}",2372170.0,2020-03-09T00:00:00.000Z,6275.0
40,0,1,Roxanne,ROXANNE,"{'value': 2459785, 'timestp': '2020-03-24T00:00:00.000Z', 'diff': 87615}",2459785.0,2020-03-24T00:00:00.000Z,87615.0
41,0,1,Roxanne,ROXANNE,"{'value': 2467071, 'timestp': '2020-03-26T00:00:00.000Z', 'diff': 7286}",2467071.0,2020-03-26T00:00:00.000Z,7286.0
42,0,1,Roxanne,ROXANNE,"{'value': 2473620, 'timestp': '2020-03-27T00:00:00.000Z', 'diff': 6549}",2473620.0,2020-03-27T00:00:00.000Z,6549.0
43,0,1,Roxanne,ROXANNE,"{'value': 2479551, 'timestp': '2020-03-28T00:00:00.000Z', 'diff': 5931}",2479551.0,2020-03-28T00:00:00.000Z,5931.0
44,0,1,Roxanne,ROXANNE,"{'value': 2485731, 'timestp': '2020-03-29T00:00:00.000Z', 'diff': 6180}",2485731.0,2020-03-29T00:00:00.000Z,6180.0
45,0,1,Roxanne,ROXANNE,"{'value': 2490217, 'timestp': '2020-03-30T00:00:00.000Z', 'diff': 4486}",2490217.0,2020-03-30T00:00:00.000Z,4486.0
46,0,1,Roxanne,ROXANNE,"{'value': 2495310, 'timestp': '2020-03-31T00:00:00.000Z', 'diff': 5093}",2495310.0,2020-03-31T00:00:00.000Z,5093.0
47,0,1,Roxanne,ROXANNE,"{'value': 2500160, 'timestp': '2020-04-01T00:00:00.000Z', 'diff': 4850}",2500160.0,2020-04-01T00:00:00.000Z,4850.0
48,0,1,Roxanne,ROXANNE,"{'value': 2505475, 'timestp': '2020-04-02T00:00:00.000Z', 'diff': 5315}",2505475.0,2020-04-02T00:00:00.000Z,5315.0
49,0,1,Roxanne,ROXANNE,"{'value': 2509843, 'timestp': '2020-04-03T00:00:00.000Z', 'diff': 4368}",2509843.0,2020-04-03T00:00:00.000Z,4368.0
50,0,1,Roxanne,ROXANNE,"{'value': 2513417, 'timestp': '2020-04-04T00:00:00.000Z', 'diff': 3574}",2513417.0,2020-04-04T00:00:00.000Z,3574.0
